result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4189, 5514629 req, miss ratio 0.8995, byte miss ratio 0.8995
result/tencentBlock.ns1847.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    12569, 5514629 req, miss ratio 0.8962, byte miss ratio 0.8962
result/tencentBlock.ns1847.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    41897, 5514629 req, miss ratio 0.8699, byte miss ratio 0.8699
result/tencentBlock.ns1847.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   125693, 5514629 req, miss ratio 0.8558, byte miss ratio 0.8558
result/tencentBlock.ns1847.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   418979, 5514629 req, miss ratio 0.8388, byte miss ratio 0.8388
result/tencentBlock.ns1847.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   837959, 5514629 req, miss ratio 0.8062, byte miss ratio 0.8062
result/tencentBlock.ns1847.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  1675919, 5514629 req, miss ratio 0.7727, byte miss ratio 0.7727
result/tencentBlock.ns1847.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  3351839, 5514629 req, miss ratio 0.7606, byte miss ratio 0.7606
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     4189, 5514629 req, miss ratio 0.8995, byte miss ratio 0.8995
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    12569, 5514629 req, miss ratio 0.8962, byte miss ratio 0.8962
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    41897, 5514629 req, miss ratio 0.8699, byte miss ratio 0.8699
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   125693, 5514629 req, miss ratio 0.8558, byte miss ratio 0.8558
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   418979, 5514629 req, miss ratio 0.8388, byte miss ratio 0.8388
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   837959, 5514629 req, miss ratio 0.8062, byte miss ratio 0.8062
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  1675919, 5514629 req, miss ratio 0.7727, byte miss ratio 0.7727
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  3351839, 5514629 req, miss ratio 0.7606, byte miss ratio 0.7606
result/tencentBlock.ns1847.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     4189, 5514629 req, miss ratio 0.8996, byte miss ratio 0.8996
result/tencentBlock.ns1847.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    12569, 5514629 req, miss ratio 0.8974, byte miss ratio 0.8974
result/tencentBlock.ns1847.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    41897, 5514629 req, miss ratio 0.8778, byte miss ratio 0.8778
result/tencentBlock.ns1847.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   125693, 5514629 req, miss ratio 0.8697, byte miss ratio 0.8697
result/tencentBlock.ns1847.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   418979, 5514629 req, miss ratio 0.8439, byte miss ratio 0.8439
result/tencentBlock.ns1847.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   837959, 5514629 req, miss ratio 0.8116, byte miss ratio 0.8116
result/tencentBlock.ns1847.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1675919, 5514629 req, miss ratio 0.7728, byte miss ratio 0.7728
result/tencentBlock.ns1847.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  3351839, 5514629 req, miss ratio 0.7610, byte miss ratio 0.7610
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     4189, 5514629 req, miss ratio 0.8995, byte miss ratio 0.8995
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    12569, 5514629 req, miss ratio 0.8962, byte miss ratio 0.8962
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    41897, 5514629 req, miss ratio 0.8699, byte miss ratio 0.8699
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   125693, 5514629 req, miss ratio 0.8558, byte miss ratio 0.8558
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   418979, 5514629 req, miss ratio 0.8388, byte miss ratio 0.8388
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   837959, 5514629 req, miss ratio 0.8062, byte miss ratio 0.8062
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1675919, 5514629 req, miss ratio 0.7727, byte miss ratio 0.7727
result/tencentBlock.ns1847.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  3351839, 5514629 req, miss ratio 0.7606, byte miss ratio 0.7606
result/tencentBlock.ns1847.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4189, 5514629 req, miss ratio 0.9209, byte miss ratio 0.9209
result/tencentBlock.ns1847.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    12569, 5514629 req, miss ratio 0.9106, byte miss ratio 0.9106
result/tencentBlock.ns1847.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    41897, 5514629 req, miss ratio 0.8791, byte miss ratio 0.8791
result/tencentBlock.ns1847.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   125693, 5514629 req, miss ratio 0.8558, byte miss ratio 0.8558
result/tencentBlock.ns1847.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   418979, 5514629 req, miss ratio 0.8388, byte miss ratio 0.8388
result/tencentBlock.ns1847.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   837959, 5514629 req, miss ratio 0.8062, byte miss ratio 0.8062
result/tencentBlock.ns1847.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1675919, 5514629 req, miss ratio 0.7727, byte miss ratio 0.7727
result/tencentBlock.ns1847.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  3351839, 5514629 req, miss ratio 0.7606, byte miss ratio 0.7606
result/tencentBlock.ns1847.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     4189, 5514629 req, miss ratio 0.8997, byte miss ratio 0.8997
result/tencentBlock.ns1847.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    12569, 5514629 req, miss ratio 0.8975, byte miss ratio 0.8975
result/tencentBlock.ns1847.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    41897, 5514629 req, miss ratio 0.8867, byte miss ratio 0.8867
result/tencentBlock.ns1847.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   125693, 5514629 req, miss ratio 0.8736, byte miss ratio 0.8736
result/tencentBlock.ns1847.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   418979, 5514629 req, miss ratio 0.8558, byte miss ratio 0.8558
result/tencentBlock.ns1847.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   837959, 5514629 req, miss ratio 0.8294, byte miss ratio 0.8294
result/tencentBlock.ns1847.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1675919, 5514629 req, miss ratio 0.7980, byte miss ratio 0.7980
result/tencentBlock.ns1847.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  3351839, 5514629 req, miss ratio 0.7875, byte miss ratio 0.7875
