result/w97.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1810, 3768450 req, miss ratio 0.7841, byte miss ratio 0.7841
result/w97.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   724235, 3768450 req, miss ratio 0.5373, byte miss ratio 0.5373
result/w97.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1448470, 3768450 req, miss ratio 0.4866, byte miss ratio 0.4866
result/w97.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1810, 3768450 req, miss ratio 0.7943, byte miss ratio 0.7943
result/w97.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     5431, 3768450 req, miss ratio 0.7380, byte miss ratio 0.7380
result/w97.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    18105, 3768450 req, miss ratio 0.7123, byte miss ratio 0.7123
result/w97.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    54317, 3768450 req, miss ratio 0.6867, byte miss ratio 0.6867
result/w97.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   181058, 3768450 req, miss ratio 0.6436, byte miss ratio 0.6436
result/w97.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   362117, 3768450 req, miss ratio 0.6082, byte miss ratio 0.6082
result/w97.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   724235, 3768450 req, miss ratio 0.5479, byte miss ratio 0.5479
result/w97.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1448470, 3768450 req, miss ratio 0.4932, byte miss ratio 0.4932
result/w97.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1810, 3768450 req, miss ratio 0.8640, byte miss ratio 0.8640
result/w97.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     5431, 3768450 req, miss ratio 0.8222, byte miss ratio 0.8222
result/w97.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    18105, 3768450 req, miss ratio 0.7521, byte miss ratio 0.7521
result/w97.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    54317, 3768450 req, miss ratio 0.7101, byte miss ratio 0.7101
result/w97.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   181058, 3768450 req, miss ratio 0.6434, byte miss ratio 0.6434
result/w97.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   362117, 3768450 req, miss ratio 0.6077, byte miss ratio 0.6077
result/w97.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   724235, 3768450 req, miss ratio 0.5479, byte miss ratio 0.5479
result/w97.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1448470, 3768450 req, miss ratio 0.4932, byte miss ratio 0.4932
result/w97.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1810, 3768450 req, miss ratio 0.7846, byte miss ratio 0.7846
result/w97.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     5431, 3768450 req, miss ratio 0.7308, byte miss ratio 0.7308
result/w97.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    18105, 3768450 req, miss ratio 0.7221, byte miss ratio 0.7221
result/w97.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    54317, 3768450 req, miss ratio 0.6994, byte miss ratio 0.6994
result/w97.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   181058, 3768450 req, miss ratio 0.6712, byte miss ratio 0.6712
result/w97.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   362117, 3768450 req, miss ratio 0.6489, byte miss ratio 0.6489
result/w97.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   724235, 3768450 req, miss ratio 0.5732, byte miss ratio 0.5732
result/w97.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1448470, 3768450 req, miss ratio 0.5337, byte miss ratio 0.5337
